"year","month","count(sessions)","product_page","MrFuzzy_page","cart_page","full_path"
"2012","3","1879","743","530","229","229"
"2012","4","3734","1447","1029","436","436"
"2012","5","3736","1585","1136","477","477"
"2012","6","3963","1751","1246","559","559"
"2012","7","4249","2019","1439","637","637"
"2012","8","6097","3011","2197","960","960"
"2012","9","6546","3126","2258","985","985"
"2012","10","8183","4030","2948","1258","1258"
"2012","11","14011","6744","4850","2090","2090"
"2012","12","10072","5012","3619","1604","1604"
"2013","1","6401","3380","2307","1148","996"
"2013","2","7168","3685","1988","1350","908"
"2013","3","6264","3372","2228","1117","920"
"2013","4","7971","4362","2901","1528","1263"
"2013","5","8449","4683","3138","1608","1348"
"2013","6","8325","4600","3074","1616","1366"
"2013","7","8903","5020","3385","1764","1462"
"2013","8","9180","5226","3433","1779","1487"
"2013","9","9580","5400","3570","1786","1520"
"2013","10","10773","6038","3967","2046","1697"
"2013","11","14032","7885","5137","2643","2226"
"2013","12","15735","8841","5623","3136","2438"
"2014","1","14825","7789","4777","2889","2081"
"2014","2","16285","7961","3949","3004","1677"
"2014","3","15669","8109","4997","2993","2126"
"2014","4","17353","9745","6004","3655","2627"
"2014","5","18061","10260","6355","3888","2786"
"2014","6","17715","10012","6100","3653","2558"
"2014","7","19038","10836","6654","3902","2794"
"2014","8","18590","10769","6635","3985","2819"
"2014","9","19513","11127","6878","4059","2933"
"2014","10","21526","12335","7600","4587","3266"
"2014","11","25125","14476","8998","5449","3853"
"2014","12","29722","17240","10297","6730","4393"
"2015","1","25337","15218","8984","5895","3801"
"2015","2","23778","14373","6900","5911","3019"
"2015","3","15083","9021","5394","3597","2358"
